Hotel,Hotel_Eng,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date,Month,Address,Latitude,Longitude,Phone,Website,Note
台北中山雅樂軒酒店,Aloft Taipei Zhongshan,Taipei,88,2728,0.67,2331.79,4248515,1062087,5897536,1557.37,1822,12/1/2020,20-Dec,"No. 1, Shuangcheng Street, Zhongshan District, Taipei City, Taiwan 104",25.06329342,121.5247645,+886 2-77439999,https://www.marriott.com/hotels/travel/tpeal-aloft-taipei-zhongshan/,
台北凱撒⼤飯店,Caesar Park Taipei,Taipei,478,14818,0.52,2203.36,17082628,24728088,46499103,1152.83,7753,12/1/2020,20-Dec,"No. 38, Section 1, Zhongxiao West Road, Zhongzheng District, Taipei City, Taiwan 100",25.04621084,121.5171871,+886 2-23115151,https://taipei.caesarpark.com.tw/,
台北君品大酒店,Palais de Chine Hotel,Taipei,286,8866,0.36,3234.55,10444353,57044732,71927304,1178.02,3229,12/1/2020,20-Dec,"No. 3, Section 1, Chengde Road, Datong District, Taipei City, Taiwan 103",25.049479,121.5175822,+886 2-21819999,https://www.palaisdechinehotel.com/,
台北君悅酒店,Grand Hyatt Taipei,Taipei,850,26350,0.35,5098.12,47193314,106571130,173492421,1791.02,9257,12/1/2020,20-Dec,"No. 2, Songshou Road, Xinyi District, Taipei City, Taiwan 110060",25.03554986,121.5626991,+886 2-27201234,https://www.hyatt.com/en-US/hotel/taiwan/grand-hyatt-taipei/,
台北寒舍喜來登⼤飯店,Sheraton Grand Taipei Hotel,Taipei,688,21328,0.38,3203.03,26143110,113942331,157051512,1225.76,8162,12/1/2020,20-Dec,"No. 12, Section 1, Zhongxiao East Road, Zhongzheng District, Taipei City, Taiwan 10049",25.04484665,121.5225169,+886 2-23215511,https://www.sheratongrandtaipei.com/,
台北寒舍艾美酒店,Le Méridien Taipei,Taipei,160,4960,0.35,7992.74,14067223,72487139,95273565,2836.13,1760,12/1/2020,20-Dec,"No. 38, Songren Road, Xinyi District, Taipei City, Taiwan 110",25.03834579,121.5688018,+886 2-66228000,https://www.marriott.com/hotels/travel/tpedm-le-meridien-taipei/,
台北有園飯店,U Hotel Taipei,Taipei,56,1736,0.4,2469.5,1701485,0,2357377,980.12,689,12/1/2020,20-Dec,"No. 16, Section 3, Nanjing East Road, Zhongshan District, Taipei City, Taiwan 10491",25.05200037,121.5378803,+886 2-25161610,http://www.uhotels.com.tw/,
台北美福大飯店,Grand Mayfull Hotel Taipei,Taipei,146,4526,0.36,5432.77,8882580,76068705,91549037,1962.57,1635,12/1/2020,20-Dec,"No. 55, Lequn 2nd Road, Zhongshan District, Taipei City, Taiwan 10491",25.08055618,121.5541936,+886 2-77223399,http://www.grandmayfull.com/,
台北花園⼤酒店,Taipei Garden Hotel,Taipei,241,7471,0.41,1491.78,4546940,24243387,31521061,608.61,3048,12/1/2020,20-Dec,"No. 1, Section 2, Zhonghua Road, Zhongzheng District, Taipei City, Taiwan 100",25.03659645,121.5075132,+886 2-23146611,http://www.taipeigarden.com.tw/,
台北華國大飯店,Imperial Hotel Taipei,Taipei,326,10106,0.15,3732.97,5789829,7621243,14250711,572.91,1551,12/1/2020,20-Dec,"No. 600, Linsen N Rd, Zhongshan District, Taipei City, Taiwan 104",25.06625493,121.525917,+886 2-25965111,http://www.imperialhotel.com.tw/,
台北萬豪酒店,Taipei Marriott Hotel,Taipei,318,9858,0.5,4352.23,21513064,89150216,140128120,2182.29,4943,12/1/2020,20-Dec,"No. 199 Lequn 2nd Road (intersection with Jinye 4th Road), ZhongShan District, Taipei City, Taiwan 10462",25.08078397,121.5591952,+886 2-85029999,https://www.marriott.com/hotels/travel/tpetm-taipei-marriott-hotel,
台北諾富特華航桃園機場飯店,Novotel Taipei Taoyuan International Airport,Taoyuan-Hsinchu-Miaoli,516,15996,0,563387.32,17465007,14426611,35297821,1091.84,31,12/1/2020,20-Dec,"No. 1-1, Hangzhan S Rd, Dayuan District, Taoyuan City, Taiwan 33758",25.06913488,121.2215501,+886 3-3980888,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=6701&merchantid=seo-maps-TW-6701&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTUzNTkxODgtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,
台南⼤員皇冠假⽇酒店,Crowne Plaza Tainan,Others,231,7161,0.7,3371.65,16834665,20881002,41543030,2350.88,4993,12/1/2020,20-Dec,"No. 289, Jhouping Rd, Anping District, Tainan City, Taiwan 70841",22.99954466,120.1486885,+886 6-3911899,https://www.ihg.com/crowneplaza/hotels/us/en/tainan/tnncp/hoteldetail?cm_mmc=GoogleMaps-_-CP-_-TW-_-TNNCP,
台南⼤飯店,Tainan Hotel,Others,152,4712,0.5,2038.42,4755626,8216240,14215333,1009.26,2333,12/1/2020,20-Dec,"No. 1, Chenggong Rd, West Central District, Tainan City, Taiwan 700",22.99725337,120.2112768,+886 6-2289101,https://www.hotel-tainan.com.tw/,
台東桂⽥喜來登酒店,Sheraton Taitung Hotel,Others,290,8990,0.64,2549.72,14665980,20538332,39193744,1631.37,5752,12/1/2020,20-Dec,"No. 316, Zhengqi Rd, Taitung City, Taitung County, Taiwan 950",22.75549409,121.1486186,+886 8-9328858,http://www.sheraton-taitung.com/,
台糖⻑榮酒店(台南),Evergreen Hotel (Tainan),Others,197,6107,0.65,2455.39,9792104,25258503,36778180,1603.42,3988,12/1/2020,20-Dec,"No. 1, Lane 336, Section 3, Zhonghua East Road, East District, Tainan City, Taiwan 701",22.97479255,120.2216179,+886 6-2899988,https://www.evergreen-hotels.com/branch2/?lang=zh-TW&d1b_Sn=6,
合尊酒店 S Hotel,S Hotel,Taipei,101,3131,0.6,3481.19,6575970,2024906,9483087,2100.28,1889,12/1/2020,20-Dec,"No. 150, DunHua N Rd, Songshan District, Taipei City, Taiwan 105",25.05485555,121.5490881,+886 2-27121777,http://www.shotel.com/,
名人堂花園大飯店,Fame Hall Garden Hotel,Taoyuan-Hsinchu-Miaoli,128,3968,0.46,5120.75,9248074,17475585,34527926,2330.66,1806,12/1/2020,20-Dec,"No. 150, Lane 141, Minsheng Road, Longtan District, Taoyuan City, Taiwan 325",24.84409625,121.229247,+886 3-4339090,https://www.fhgh.com.tw/,
名都觀光渡假大飯店,Le Beau Max Resort,Scenery,97,3007,0.13,2310.89,901248,2079429,3079713,299.72,390,12/1/2020,20-Dec,"602, Taiwan, Chiayi County, Fanlu Township, 28",23.4573151,120.5039038,+886 5-2712658,http://www.beau-max.com.tw/,
和逸飯店桃園青埔館,COZZI Blu (Taoyuan) ,Taoyuan-Hsinchu-Miaoli,218,6758,0.62,5298.07,22183037,23080545,45464293,3282.49,4187,12/1/2020,20-Dec,"No. 101, Chunde Rd, Zhongli District, Taoyuan City, Taiwan 32056",25.01804275,121.2138004,+886 3-2737699,https://hotelcozzi.com/,
國王大飯店,Emperor Hotel,Taipei,97,3007,0.11,1297,442277,216438,703415,147.08,341,12/1/2020,20-Dec,"No. 118, Section 1, Nanjing East Road, Zhongshan District, Taipei City, Taiwan 104",25.05205613,121.5268015,+886 2-25811111,http://www.emperorhotel.com.tw/,
國聯大飯店,United Hotel,Taipei,243,7533,0.41,1525.05,4729189,598131,5875471,627.8,3101,12/1/2020,20-Dec,"No. 200, Guangfu South Road, Da’an District, Taipei City, Taiwan 106",25.04231631,121.5580868,+886 2-27731515,http://www.unitedhotel.com.tw/,
國賓⼤飯店,Ambassador Hotel Taipei,Taipei,422,13082,0.25,2196.01,7046997,78662052,91929262,538.68,3209,12/1/2020,20-Dec,"No. 63, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 10446",25.05678724,121.5230478,+886 2-25511111,https://www.ambassador-hotels.com/tc/taipei,
圓山大飯店,Grand Hotel Taipei,Taipei,466,14446,0.78,2810.33,31624660,59805506,106632109,2189.16,11253,12/1/2020,20-Dec,"No. 1, Section 4, Zhongshan North Road, Zhongshan District, Taipei City, Taiwan 10461",25.07905844,121.5268953,+886 2-28868888,https://www.grand-hotel.org/,
墾丁怡灣渡假酒店,Grand Bay Resort,Scenery,234,7254,0.28,2403.03,4926211,906006,5963807,679.1,2050,12/1/2020,20-Dec,"No. 998, Henggong Road, Hengchun Township, Pingtung County, Taiwan 94643",22.00995486,120.7411754,+886 8-8899968,http://grandbay-resort.com.tw/,
墾丁福華渡假飯店,Howard Beach Resort Kenting,Scenery,458,14198,0.4,2769.58,15592736,6785759,23116958,1098.23,5630,12/1/2020,20-Dec,"No. 2, Kending Road, Hengchun Township, Pingtung County, Taiwan 946",21.94250408,120.806556,+886 8-8862323,https://www.howard-kenting.com.tw/,
⼤板根渡假酒店,The Great Roots Forestry Spa Resort,Others,95,2945,0.99,6815.01,19838490,16198692,58043350,6736.33,2911,12/1/2020,20-Dec,"No. 79, Sanxia District, New Taipei City, Taiwan 237",24.8713321,121.4076268,+886 2-26749228,https://www.thegreatroots.com/,
天成⼤飯店,Cosmos Hotel Taipei,Taipei,225,6975,0.58,1738.58,7093426,28078578,38144306,1016.98,4080,12/1/2020,20-Dec,"No. 43, Section 1, Zhongxiao West Road, Zhongzheng District, Taipei City, Taiwan 100",25.04672842,121.5188479,+886 2-23617856,http://www.cosmos-hotel.com.tw/,
太魯閣晶英酒店,Silks Place Taroko,Scenery,160,4960,0.85,8827.67,37367514,10962941,54004305,7533.77,4233,12/1/2020,20-Dec,"No. 18, Tianxiang, Xiulin Township, Hualien County, Taiwan 972003",24.18162964,121.4943309,+886 3-8691155,https://taroko.silksplace.com/tw/,
娜路彎⼤酒店,Formosan Naruwan Hotel & Resort Taitung,Others,276,8556,0.51,3955.61,17238550,9749403,27791732,2014.79,4358,12/1/2020,20-Dec,"66 , Lien Hang Rord , Taitung , Taiwan 950",22.77053466,121.1218318,+886 8-9239666,https://www.naruwan-hotel.com.tw/,
寒舍艾麗酒店,Humble House Hotel,Taipei,235,7285,0.34,5196.29,12881612,16905526,32642700,1768.24,2479,12/1/2020,20-Dec,"No. 18, Songgao Road, Xinyi District, Taipei City, Taiwan 110",25.03907288,121.5677812,+886 2-66318000,http://www.humblehousehotels.com/,
寒軒國際大飯店,Han Hsien International Hotel,Kaohsiung,380,11780,0.43,1994.07,10179718,15417114,26546323,864.15,5105,12/1/2020,20-Dec,"No. 33, Siwei 3rd Road, Lingya District, Kaohsiung City, Taiwan 802",22.61946186,120.3110312,+886 7-3322000,http://www.han-hsien.com.tw/hhih/,
寶華⼤飯店,Bowa Hotel,Others,78,2418,0.04,1281.28,114034,0,116034,47.16,89,12/1/2020,20-Dec,"No. 2, Zhongzheng Road, Magong City, Penghu County, Taiwan 880",23.56385131,119.5655434,+886 6-9274881,http://www.bowahotel.com.tw/,
尊爵⼤飯店,Monarch Plaza Hotel,Taoyuan-Hsinchu-Miaoli,231,7161,0.23,3588.02,5938181,11460758,18441942,829.24,1655,12/1/2020,20-Dec,"No. 300, Section 1, Zhuangjing Road, Taoyuan District, Taoyuan City, Taiwan 330",25.02506746,121.2980962,+886 3-3169900,http://www.monarch-hotels.com.tw/,
尊爵天際⼤飯店,Monarch Skyline Hotel,Taoyuan-Hsinchu-Miaoli,250,7750,0.29,2242.37,4980300,25742317,31045939,642.62,2221,12/1/2020,20-Dec,"No. 108, Section 1, Nankan Road, Luzhu District, Taoyuan City, Taiwan 338",25.05202174,121.2890027,+886 3-2121001,http://www.skyline-hotels.com.tw/,
⼭泉⼤飯店,Sun Spring Resort,Others,146,4526,0.78,1907.28,6768944,1002967,8180959,1495.57,3549,12/1/2020,20-Dec,"No. 36, Section 6, Jiaoxi Road, Jiaoxi Township, Yilan County, Taiwan 262",24.83095646,121.7781511,+886 3-9887979,http://www.sunspring-resort.com.tw/,
幼獅⼤飯店,Lion Hotel,Others,55,1705,0.11,1951.85,368900,0,387880,216.36,189,12/1/2020,20-Dec,"No. 222, Section 3, Zhongshan Road, Luodong Township, Yilan County, Taiwan 265",24.67528082,121.7701593,+886 3-9551111,http://www.lion-hotel.com.tw/,
康華大飯店,Golden China Hotel,Taipei,215,6665,0.2,2024.89,2731574,7840306,11260359,409.84,1349,12/1/2020,20-Dec,"No. 306, Songjiang Road, Zhongshan District, Taipei City, Taiwan 10491",25.06038356,121.5332422,+886 2-25215151,http://www.golden-china.com.tw/,
悅川酒店,The Walden,Others,103,3193,0.64,4037.49,8220339,5788168,14008507,2574.49,2036,12/1/2020,20-Dec,"No. 123, Section 5, Zhongshan Road, Yilan City, Yilan County, Taiwan 260",24.76993969,121.7566203,+886 3-9699555,http://www.waldenhotels.com/,
慶泰大飯店,Gala Hotel,Taipei,150,4650,0.27,2052.86,2557863,2830441,5840440,550.08,1246,12/1/2020,20-Dec,"No. 186, Songjiang Road, Zhongshan District, Taipei City, Taiwan 10491",25.05681674,121.532938,+886 2-25415511,http://www.galahotel.com.tw/,
新竹喜來登大飯店,Sheraton Hsinchu Hotel,Taoyuan-Hsinchu-Miaoli,386,11966,0.46,2852.63,15854898,37716337,60856545,1325,5558,12/1/2020,20-Dec,"No. 265, Dong Sec. 1, Guangming 6th Rd, Zhubei City, Taiwan 300",24.82034967,121.0283949,+886 3-6206000 ,https://www.marriott.com/hotels/travel/tpehs-sheraton-hsinchu-hotel/,
新⽵國賓⼤飯店,Ambassador Hotel Hsinchu,Taoyuan-Hsinchu-Miaoli,257,7967,0.44,2699.52,9370049,39059909,52235858,1176.11,3471,12/1/2020,20-Dec,"No. 188, Section 2, Zhonghua Rd, East District, Hsinchu City, Taiwan 30060",24.80656828,120.9787367,+886 3-5151111,https://www.ambassador-hotels.com/en/hsinchu,
新⽵老爺⼤酒店,Hotel Royal Hsinchu,Taoyuan-Hsinchu-Miaoli,208,6448,0.48,2519.81,7844179,14053156,22900097,1216.53,3113,12/1/2020,20-Dec,"No. 227, Section 1, Guangfu Road, East District, Hsinchu City, Taiwan 300",24.78197528,121.0209641,+886 3-5631122,http://www.hotelroyal.com.tw/hsinchu/,
⽇勝⽣加賀屋國際溫泉飯店,Hotel Kagaya,Taipei,90,2790,0.74,8959.11,18410973,15557432,44615403,6598.92,2055,12/1/2020,20-Dec,"No. 236, Guangming Road, Beitou District, Taipei City, Taiwan 112",25.1363447,121.5071152,+886 2-28911111,http://www.kagaya.com.tw/,
日月行館,The Wen Wan Resort,Scenery,92,2852,0.29,13638.61,11360963,6232060,18014774,3983.51,833,12/1/2020,20-Dec,"No. 139, Zhongxing Road, Yuchi Township, Nantou County, Taiwan 555",23.86386476,120.9093862,+886 4-92855555,http://www.thewenwan.com/,
晶英國際⾏館,Silks Club,Kaohsiung,147,4557,0.45,7447.01,15348287,18853625,37376043,3368.07,2061,12/1/2020,20-Dec,"No. 199, Zhongshan 2nd Road, Qianzhen District, Kaohsiung City, Taiwan 806",22.61089722,120.3054433,+886 7-9730189,http://www.silks-club.com/,
晶華酒店,Regent Taipei,Taipei,538,16678,0.58,3717.15,36160449,147591074,204925670,2168.15,9728,12/1/2020,20-Dec,"No. 41, Section 2, Zhongshan N Rd, Zhongshan District, Taipei City, Taiwan 10491",25.05443387,121.5228488,+886 2-25238000 ,https://www.regenttaiwan.com/,
板橋凱撒⼤飯店,Caesar Park Hotel Banqiao,Others,400,12400,0.71,3968.23,34968045,12576605,47557569,2820,8812,12/1/2020,20-Dec,"No. 8, Section 2, Xianmin Boulevard, Banqiao District, New Taipei City, Taiwan 220",25.01206129,121.4634079,+886 2-89538999,http://banqiao.caesarpark.com.tw/,
桃園喜來登酒店,Sheraton Taoyuan Hotel,Taoyuan-Hsinchu-Miaoli,190,5890,0.53,1689.44,5232182,10644487,17392722,888.32,3097,12/1/2020,20-Dec,"No. 777, Daguan Road, Dayuan District, Taoyuan City, Taiwan 337",25.06187509,121.1762126,+886 3-3851188,https://www.sheraton-taoyuan.com/,
樂樂⽇暉溫泉酒店,J Resort,Others,48,1488,0.22,2506.32,802023,0,802023,538.99,320,12/1/2020,20-Dec,"No. 123, Dongxin Road, Chishang Township, Taitung County, Taiwan 958",23.1199722,121.2018396,+886 8-9861166,https://jresort.com.tw/,
歐華酒店,The Riviera Hotel ,Taipei,112,3472,0.16,2648.83,1493942,7024813,9371777,430.28,564,12/1/2020,20-Dec,"No. 646, Linsen N Rd, Zhongshan District, Taipei City, Taiwan 10461",25.06837764,121.5257615,+886 2-25853258,http://www.rivierataipei.com/,
海灣藝術酒店,HiONE Gallery Hotel Taichung ,Taichung,226,7006,0.48,2053.51,6938810,1435200,8885735,990.41,3379,12/1/2020,20-Dec,"No. 521, Section 1, Zhongqing Road, North District, Taichung City, Taiwan 40460",24.16786277,120.6724114,+886 4-22956858,http://www.hionetcc.com.tw/,
涵碧樓⼤飯店,The Lalu Hotel,Scenery,96,2976,0.89,15308.83,40644945,8952811,55960976,13657.58,2655,12/1/2020,20-Dec,"No. 142, Zhongxing Road, Yuchi Township, Nantou County, Taiwan 555",23.86317222,120.9087971,+886 4-92855311,http://www.thelalu.com.tw/,
漢來⼤飯店,The Grand HiLai Hotel,Kaohsiung,535,16585,0.6,2794.63,27884811,83583068,129667173,1681.33,9978,12/1/2020,20-Dec,"No. 266, Chenggong 1st Road, Qianjin District, Kaohsiung City, Taiwan 801",22.61966586,120.2969006,+886 7-2161766,http://www.grand-hilai.com/,
澎湖福朋喜來登酒店,Four Points by Sheraton Penghu,Others,331,10261,0.25,2181.04,5651067,10578947,18321395,550.73,2591,12/1/2020,20-Dec,"No. 197, Xindian Road, Magong City, Penghu County, Taiwan 880",23.56838036,119.5763646,+886 6-9266288,https://www.marriott.com/hotels/travel/mzgfp-four-points-penghu,
瑞穗天合國際觀光酒店,Grand Cosmos Resort,Hualien,198,6138,0.82,7618.05,38532080,18765625,66516844,6277.63,5058,12/1/2020,20-Dec,"No. 368, Section 2, Wenquan Road, Ruisui Township, Hualien County, Taiwan 978",23.49375973,121.3547897,+886 2-89786688,https://www.grandcosmos.com.tw/,
瓏山林台北中和飯店,RSL Hotel Taipei Zhonghe,Others,126,3906,0.27,2316.5,2411477,3875242,7220906,617.38,1041,12/1/2020,20-Dec,"No. 631, Zhongzheng Rd., Zhonghe Dist., New Taipei City, Taiwan 235604",24.99542537,121.4852014,+886 2-22229999,https://taipei.rslhotel.com/,
知本老爺⼤酒店,Hotel Royal Chihpen,Scenery,182,5642,0.94,4785.87,25259833,12402777,42252053,4477.11,5278,12/1/2020,20-Dec,"No. 23, Lane 113, Longquan Road, Beinan Township, Taitung County, Taiwan 954",22.69218824,121.007109,+886 8-9510666,http://www.hotelroyal.com.tw/chihpen/,
碧特弗⼤飯店,Beautiful Hotel,Others,54,1674,0.11,2907.28,537846,168019,705865,321.29,185,12/1/2020,20-Dec,"No. 8, Taiping Rd., Xindian Dist., New Taipei City, Taiwan 231069",24.95805713,121.5342999,+886 2-86669999,https://www.beautifulhotel.com.tw/,TBC (duplicated hotel) 
礁溪老爺大酒店,Hotel Royal Chiao His,Scenery,197,6107,0.84,8154.17,41814562,23969762,78153615,6846.99,5128,12/1/2020,20-Dec,"No. 69, Wufeng Road, Jiaoxi Township, Yilan County, Taiwan 262",24.82834724,121.7564475,+886 3-9886288,http://www.hotelroyal.com.tw/chiaohsi/,
神旺大飯店,San Want Hotel,Taipei,268,8308,0.04,3027.51,911281,22586805,24904021,109.69,301,12/1/2020,20-Dec,"No. 172, Section 4, Zhongxiao East Road, Da’an District, Taipei City, Taiwan 106",25.04135909,121.551294,+886 2-27722121,http://www.sanwant.com/,
福容大飯店(台北一館),Fullon Hotel Taipei Central,Taipei,120,3720,0.25,2902.51,2681917,10192088,13908599,720.95,924,12/1/2020,20-Dec,"No. 266, Section 1, Jianguo South Road, Da’an District, Taipei City, Taiwan 106",25.03683412,121.537724,+886 2-27019266,http://www.fullon-hotels.com.tw/tp/,
福容大飯店(林口),Fullon Hotel Linkou,Taoyuan-Hsinchu-Miaoli,149,4619,0.38,2673.66,4753761,2299897,7073758,1029.18,1778,12/1/2020,20-Dec,"No. 68, Wener 1st Street, Guishan District, Taoyuan City, Taiwan 333",25.06049005,121.3635232,+886 3-3279388,http://www.fullon-hotels.com.tw/lk,
福容大飯店(桃園),Fullon Hotel Taoyuan,Taoyuan-Hsinchu-Miaoli,182,5642,0.38,2172.87,4656467,5303647,10747571,825.32,2143,12/1/2020,20-Dec,"No. 200, Section 1, Daxing West Road, Taoyuan District, Taoyuan City, Taiwan 330",25.01402493,121.3032612,+886 3-3265800,http://www.fullon-hotels.com.tw/ty,
福容大飯店(淡水漁人碼頭),Fullon Hotel Tamsui Fisherman’s Wharf,Others,198,6138,0.46,4435.85,12535701,12169836,26484500,2042.31,2826,12/1/2020,20-Dec,"No. 83, Guanhai Road, Tamsui District, New Taipei City, Taiwan 251",25.1822727,121.4165825,+886 2-26287777,http://www.fullon-hotels.com.tw/fw,
福容大飯店(福隆),Fullon Hotel Fulong,Scenery,174,5394,0.23,4300.16,5250500,3539079,9001883,973.4,1221,12/1/2020,20-Dec,"No. 41, Fulong Street, Gongliao District, New Taipei City, Taiwan 228",25.01866119,121.9440475,+886 2-24991188,http://www.fullon-hotels.com.tw/fl,
福容大飯店(高雄),Fullon Hotel Kaohsiung,Kaohsiung,250,7750,0.46,2023.58,7187772,2959156,10150664,927.45,3552,12/1/2020,20-Dec,"No. 45, Wufu 4th Road, Yancheng District, Kaohsiung City, Taiwan 803",22.62153134,120.2880543,+886 7-5511188,http://www.fullon-hotels.com.tw/kh,
福華⼤飯店,The Howard Plaza Hotel Taipei,Taipei,606,18786,0.27,2741.79,14027000,36262000,63652000,746.67,5116,12/1/2020,20-Dec,"No. 160, Section 3, Ren'ai Road, Da’an District, Taipei City, Taiwan 106",25.03784708,121.5426851,+886 2-27002323,http://www.howard-hotels.com.tw/taipei/home/,
